rf-hsv,rf-cielab,nn-hsv,nn-cielab
0.663331586,0.640974506,0.692788287,0.686166017
0.750171192,0.709417249,0.761458877,0.763915174
0.641385311,0.581668327,0.670626836,0.641200311
0.737592219,0.663145041,0.756823562,0.719151308
0.67761714,0.658926468,0.711081038,0.71012638
0.634680362,0.543970254,0.633152283,0.626569472
0.773143466,0.690102426,0.772880969,0.766968212
0.732981298,0.696308096,0.748352846,0.739873912
0.675320118,0.650306732,0.729071516,0.700855813
0.797773247,0.716622744,0.788177737,0.77295928
0.452444071,0.403078854,0.443481271,0.435642823
0.416621028,0.403852243,0.421680607,0.412206867
0.399726496,0.398592939,0.41970249,0.42050278
0.443504504,0.422827327,0.45542726,0.449505056
0.440066904,0.408071357,0.443260011,0.420217113
0.409897336,0.366469154,0.407909767,0.395835985
0.422544505,0.403296121,0.426654217,0.432814173
0.43174011,0.396775652,0.427590558,0.414079043
0.415912081,0.401423905,0.414652784,0.421139474
0.412752848,0.408856493,0.428109905,0.426752239
0.626449571,0.51737384,0.672017165,0.652795211
0.718023397,0.566069658,0.713723872,0.706029031
0.70121822,0.55938732,0.749076503,0.724116159
0.694353576,0.547656734,0.737488325,0.71781638
0.701225986,0.56184983,0.720449492,0.735182205
0.668260107,0.54899089,0.696856677,0.681583486
0.687125529,0.564870987,0.722094177,0.715212274
0.649230189,0.539320961,0.69768247,0.693793749
0.66172257,0.537156062,0.717896745,0.722976248
0.679059775,0.557461296,0.718804991,0.687585075
